hs6,hscode,품명,MFN(2순위),잠정세율(2순위),APTA(1순위),FTA세율
10620,106202091,"Other endangered reptiles, for human consumption(including domesticated and artificial bredding)",10%,,,3%
10620,106202099,"Other reptiles, for human consumption(including domesticated and artificially propagated)",10%,,,3%
10620,106209010,Other endangered reptiles (including domesticated and artificially progagated),10%,,,3%
10620,106209090,Other reptiles (including domesticated and artificially propagated),10%,,,3%
10631,106311000,Pure-bred breeding,0%,,,
10631,106319000,Other,10%,,,3%
10632,106321000,Pure-bred breeding,0%,,,
10632,106329000,Other,10%,,,3%
10633,106331010,"Endangered ostriches, pure-bred breeding(including domesticated and artificially bred)",0%,,,
10633,106331090,"Other ostriches and emus, pure-bred breeding",0%,,,
10633,106339010,Other endangered ostriches (including domesticated and artificially bred),10%,,,3%
10633,106339090,Other ostriches and emus,10%,,,3%
10639,106391010,"Other endangered birds, pure-bred breeding(including domesticated and artificially bred)",0%,,,
10639,106391090,"Other birds, pure-bred breeding",0%,,,
10639,106392100,Squabs,10%,,,3%
10639,106392300,Teals,10%,,,3%
10639,106392910,"Other endangered birds, for human consumption(including domesticated and artificially bred)",10%,,,3%
10639,106392990,Other birds for human consumption,10%,,,3%
10639,106399010,"Other endangered bird, including domesticated and artificially bred",10%,,,3%
10639,106399090,Other birds,10%,,,3%
10641,106411000,Pure-bred breeding,0%,,,
10641,106419001,Trichogramma,10%,,9%,0%
10641,106419090,Other bees,10%,,9%,0%
10649,106491010,"Other endangered insects, pure-bred breeding(including domesticated and artificially bred)",0%,,,
10649,106491090,"Other insects, pure-bred breeding",0%,,,
10649,106499001,Predatory mites,10%,,9%,0%
10649,106499010,Other endangered insects(including domesticated and artificially bred),10%,,9%,0%
10649,106499090,Other insects,10%,,9%,0%
10690,106901110,"Endangered tadpole and young frogs, pure-bred breeding",0%,,,
10690,106901190,"Other tadpole and young frogs, pure-bred breeding",0%,,,
10690,106901910,"Other endangered animals, pure-bred breeding (including domesticated and artificially bred)",0%,,,
10690,106901990,"Other animals, pure-bred breeding",0%,,,
10690,106909010,"Other endangered animals, pure-bred breeding(including domesticated and artificially bred)",10%,,9%,3%
10690,106909090,Other animals,10%,,9%,3%
20110,201100010,"Meat of wild bovine animals, carcasses and half-carcasses, fresh or chilled",20%,,,10.60%
20110,201100090,"Other meat of bovine animals, carcasses and half-carcasses, fresh or chilled",20%,,,10.60%
20120,201200010,"Meat of wild bovine animals, with bone in, fresh or chilled",12%,,,6.40%
20120,201200090,"Other meat of bovine animals, with bone in, fresh or chilled",12%,,,6.40%
20130,201300010,"Meat of wild bovine animals, boneless, fresh or chilled",12%,,,6.40%
20130,201300090,"Other meat of bovine animals, boneless, fresh or chilled",12%,,,6.40%
20210,202100010,"Meat of wild bovine animals, carcasses and half-carcasses, frozen",25%,,,16.20%
20210,202100090,"Other meat of bovine animals, carcasses and half-carcasses, frozen",25%,,,16.20%
20220,202200010,"Meat of wild bovine animals, with bone in, frozen",12%,,,6.40%
20220,202200090,"Other meat of bovine animals, with bone in, frozen",12%,,,6.40%
20230,202300010,"Meat of wild bovine animals, boneless, frozen",12%,,,6.40%
20230,202300090,"Other meat of bovine animals, boneless, frozen",12%,,,6.40%
20311,203111010,"Meat of wild sucking pig, carcasses and half-carcasses, fresh or chilled",20%,,,10.60%
20311,203111090,"Meat of other sucking pig, carcasses and half-carcasses, fresh or chilled",20%,,,10.60%
20311,203119010,"Other meat of wild swine, carcasses and half-carcasses, fresh or chilled",20%,,,10.60%
20311,203119090,"Other meat of swine, carcasses and half-carcasses, fresh or chilled",20%,,,10.60%
20312,203120010,"Hams, shoulders and cuts thereof, with bone in, of wild swine, fresh or chilled",20%,,,10.60%
20312,203120090,"Hams, shoulders and cuts thereof, with bone in, of swine, fresh or chilled",20%,,,10.60%
20319,203190010,"Other meat of wild swine, fresh or chilled",20%,,,10.60%
20319,203190090,"Other meat of swine, fresh or chilled",20%,,,10.60%
20321,203211010,"Meat of wild sucking pig, carcasses and half-carcasses, frozen",12%,,,3.60%
20321,203211090,"Meat of sucking pig, carcasses and half-carcasses, frozen",12%,,,3.60%
20321,203219010,"Other meat of wild swine, carcasses and half-carcasses, frozen",12%,,,3.60%
20321,203219090,"Other meat of swine, carcasses and half-carcasses, frozen",12%,,,3.60%
20322,203220010,"Hams, shoulders and cuts thereof, with bone in, of wild swine, frozen",12%,8%,,3.60%
20322,203220090,"Hams, shoulders and cuts thereof, with bone in, of swine, frozen",12%,8%,,3.60%
20329,203290010,"Other meat of wild swine, frozen",12%,8%,,3.60%
20329,203290090,"Other meat of swine, frozen",12%,8%,,3.60%
20410,204100000,"Carcasses and half-carcasses of lamb, fresh or chilled",15%,,,4.50%
20421,204210000,Carcasses and half-carcasses,23%,,,14.90%
20422,204220000,Other cuts with bone in,15%,,,4.50%
20423,204230000,Boneless,15%,,,4.50%
20430,204300000,"Carcasses and half-carcasses of lamb, frozen",15%,,,4.50%
20441,204410000,Carcasses and half-carcasses,23%,,,14.90%
20442,204420000,Other cuts with bone in,12%,,,3.60%
20443,204430000,Boneless,15%,,,4.50%
20450,204500000,Meat of goats,20%,,,10.60%
20500,205000010,"Meat of endangered wild horses and asses, fresh, chilled or frozen",20%,,,10.60%
20500,205000090,"Other meat of horses, asses, mules or hinnies, fresh, chilled or frozen",20%,,,10.60%
20610,206100000,"Of bovine animals, fresh or chilled",12%,,,3.60%
20621,206210000,Tongues,12%,,,3.60%
20622,206220000,Livers,12%,,,3.60%
20629,206290000,Other,12%,,,3.60%
20630,206300000,"Of swine, fresh or chilled",20%,,,10.60%
20641,206410000,Livers,20%,,,10.60%
20649,206490000,Other,12%,,,3.60%
20680,206800010,"Edible offal of sheep or goats, fresh or chilled",20%,,,10.60%
20680,206800090,"Edible offal of horses, asses, mules or hinnies, fresh or chilled",20%,,,10.60%
20690,206900010,"Edible offal of sheep or goats, frozen",18%,,,9.60%
20690,206900090,"Edible offal of horses, asses, mules or hinnies, frozen",18%,,,9.60%
20711,207110000,"Not cut in pieces, fresh or chilled",20%,,,10.60%
20712,207120000,"Not cut in pieces, frozen",1.3元/kg,,,0.6元/kg
20713,207131100,With bone,20%,,,10.60%
20713,207131900,Other,20%,,,10.60%
20713,207132101,"Whole Wings, fresh or chilled",20%,,,10.60%
20713,207132102,"Wing root, fresh or chilled",20%,,,10.60%
20713,207132103,"Midjoint wing, fresh or chilled",20%,,,10.60%
20713,207132104,"2-joint wings, fresh or chilled",20%,,,10.60%
20713,207132901,"chicken wing tips, fresh or chilled",20%,,,10.60%
20713,207132902,"Chicken knee cartilage, fresh or chilled",20%,,,10.60%
20713,207132990,"other chicken edible offal, fresh or chilled",20%,,,10.60%
20714,207141100,With bone,0.6元/kg,,,0.1元/kg
20714,207141900,Other,0.7元/kg,,,0.2元/kg
20714,207142101,"Whole wings, frozen",0.8元/kg,,,0.2元/kg
20714,207142102,"Drumettes, frozen",0.8元/kg,,,0.2元/kg
20714,207142103,"Midjoint wings, frozen",0.8元/kg,,,0.2元/kg
20714,207142104,"2-joint wings, frozen",0.8元/kg,,,0.2元/kg
20714,207142200,Chicken claw,1元/kg,,,0.1元/kg
20714,207142901,"Wing Tips, frozen",0.5元/kg,,,0.1元/kg
20714,207142902,"Chicken knee cartilage, frozen",0.5元/kg,,,0.1元/kg
20714,207142990,"Other chicken edible offal, frozen",0.5元/kg,,,0.1元/kg
20724,207240000,"Not cut in pieces, fresh or chilled",20%,,,10.60%
20725,207250000,"Not cut in pieces, frozen",20%,,,10.60%
20726,207260000,"Cuts and offal, fresh or chilled",20%,,,10.60%
20727,207270000,"Cuts and offal, frozen",10%,,,3%
20741,207410000,"Not cut in pieces, fresh or chilled",20%,,,10.60%
20742,207420000,"Not cut in pieces, frozen",20%,,,10.60%
20743,207430000,"Fatty livers(foie gras), fresh chilled",20%,,,10.60%
20744,207440000,"Other, fresh or chilled",20%,,,10.60%
20745,207450000,"Other, frozen",20%,,,13%
20751,207510000,"Not cut in pieces, fresh or chilled",20%,,,10.60%
20752,207520000,"Not cut in pieces, frozen",20%,,,10.60%
20753,207530000,"Fatty livers(foie gras), fresh or chilled",20%,,,10.60%
20754,207540000,"Other, fresh or chilled",20%,,,10.60%
20755,207550000,"Other, frozen",20%,,,10.60%
20760,207600000,Guinea fowls,20%,,,10.60%
20810,208101000,"Meat of rabbits, fresh or chilled, other than head",20%,,,10.60%
20810,208102000,"Meat of rabbits, frozen, other than head",20%,,,10.60%
20810,208109010,"Meat and offal, of endangered wild hares (other than head), fresh, chilled or frozen",20%,,,10.60%
20810,208109090,"Edible offal of rabbits, fresh, chilled or frozen",20%,,,10.60%
20830,208300000,Of primates,23%,,,6.90%
20840,208400000,"Of whales, dolphins and porpoises(mammals of the order Cetacea);manatees and dugongs(mammals of the order Sirenia);seal, sea lion and walrus(mammals of the suborder Pinnipedia)",23%,,,6.90%
20850,208500000,Of reptiles(including snakes and turtles),23%,,,6.90%
20860,208600010,"Meat and offal of endangered wild camel and other endangered camel familia animals, fresh, chilled or fro zen",23%,,,6.90%
20860,208600090,"Meat and offal of other camel and other camel familia animals, fresh, chilled or frozen",23%,,,6.90%
20890,208901000,Of squabs,20%,,,10.60%
20890,208909010,"Other meat of endangered wild animals, fresh, chilled or frozen",23%,,,14.90%
20890,208909090,"Other meat and edible offal, fresh, chilled or frozen",23%,,,14.90%
20910,209100000,Of swine,20%,,,10.60%
20990,209900000,Other,20%,,,10.60%
21011,210111010,"Hams and shoulders of pig-deer (Babyrousa), pygmy pig (Porcula), with bone in, salted, in brine, dried or smoked",25%,,,16.20%
21011,210111090,"Other hams and shoulders of swine, with bone in, salted, in brine, dried or smoked",25%,,,16.20%
21011,210119010,"Cuts of pig-deer (Babyrousa), pygmy pig (Porcula), with bone in, salted, in brine, dried or smoked",25%,,,16.20%
21011,210119090,"Other meat of hams and shoulders, with bone in, salted, in brine, dried or smoked",25%,,,16.20%
21012,210120010,"Bellies (streaky) and cuts thereof, of pig-deer (Babyrousa), pygmy pig (Porcula), salted, in brine, dried or smoked",25%,,,16.20%
21012,210120090,"Other bellies (streaky) and cuts thereof of swine, salted, in brine, dried or smoked",25%,,,16.20%
21019,210190010,"Other meat of pig-deer(Babyrousa), pygmy pig(porcula), salted, in brine, dried or smoked",25%,,,16.20%
21019,210190090,"Other meat of swine, salted, in brine, dried or smoked",25%,,,16.20%
21020,210200010,"Meat of endangered wild bovine animals, salted, in brine, dried or smoked",25%,,,16.20%
21020,210200090,"Other meat of bovine animals, salted, in brine, dried or smoked",25%,,,16.20%
21091,210910000,Of primates,25%,,,7.50%
21092,210920000,"Of whales, dolphins and porpoises(mammals of the order Cetacea);manatees and dugongs(mammals of the order Sirenia);seal, sea lion and walrus(mammals of the suborder Pinnipedia)",25%,,,7.50%
21093,210930000,Of reptiles(including snakes and turtles),25%,,,7.50%
21099,210990010,"Meat and edible offal of other endangered wild animals(including edible flours and meals of meat and meat offal), salted, in brine, dried or smoked",25%,,,16.20%
21099,210990090,"Other meat and edible offal (including edible flours and meals of meat and meat offal), salted, in brine, dried or smoked",25%,,,16.20%
30111,301110010,Ornamental endangered freshwater fish,10%,,,9.30%
30111,301110090,Ornamental other freshwater fish,10%,,,9.30%
30119,301190010,Ornamental endangered not freshwater fish,10%,,,9.30%
30119,301190090,Ornamental other not freshwater fish,10%,,,9.30%
30191,301911000,Fry,0%,,,
30191,301919000,Other,10%,,7.60%,3.10%
30192,301921010,Fry of marbled eels (Anguilla marmorata),0%,,,
30192,301921020,Fry eruopean eels,0%,,,
30192,301921090,Other fry of eels (Anguilla marmorata),0%,,,
30192,301929010,Marbled eels (Anguilla marmorata),7%,,4.70%,3%
30192,301929020,European eels,7%,,4.70%,3%
30192,301929090,Other live eels (Anguilla marmorata),7%,,4.70%,3%
30193,301931000,Fry,0%,,,
30193,301939000,Other,7%,,5.30%,3.10%
30194,301941000,Fry,0%,,,
30194,301949100,Atlantic bluefin tunas,7%,,5.30%,3.10%
30194,301949200,Pacific bluefin tunas,7%,,5.30%,3.10%
30195,301951000,Fry,0%,,,
30195,301959000,Other,7%,,5.30%,3.10%
30199,301991100,Of perches,0%,,,
30199,301991200,Of sturgeon,0%,,,
30199,301991910,Other endangered fry,0%,,,
30199,301991990,Other fry,0%,,,
30199,301999100,Tilapia,7%,,,3.10%
30199,301999200,Puffer fish,10%,,7.60%,3.10%
30199,301999310,Other endangered live carp,7%,,5.30%,3.10%
30199,301999390,"Other live carp(Carp(excluding Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",7%,,5.30%,3.10%
30199,301999910,Other endangered live fish,7%,,5.30%,3.10%
30199,301999990,Other live fish,7%,,5.30%,3.10%
30211,302110000,"Trout (Salmo trutta, Oncorhynchus my-kiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster",10%,,,3.60%
30213,302130000,"Pacific salmon(Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",10%,,,3%
30214,302141000,Atlantic salmon,10%,,,3%
30214,302142000,Danube salmon,7%,,,3%
30219,302190010,"Hucho bleekeri, fresh or chilled (excluding edible fish offal of subheading 0302.91 to 0302.99)",10%,,6.70%,3.60%
30219,302190020,"Brachymystax lenck (Tslinling lenok), fresh or chilled (excluding edible fish offal of subheading 0302.91 to 0302.99)",10%,,6.70%,3.60%
30219,302190090,"Other salmon, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",10%,,6.70%,3.60%
30221,302210010,"Atlantic halibut(halibut), fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,5.30%,3.60%
30221,302210020,"Reinhardtius, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,5.30%,3.60%
30221,302210090,"Other halibut, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,5.30%,3.60%
30222,302220000,Plaice (Pleuronectes platessa),7%,,5.30%,3.60%
30223,302230000,Sole (Solea spp.),7%,,5.30%,3.60%
30224,302240000,Turbot(Psetta maxima),7%,,3.50%,3.60%
30229,302290010,"Arrowtooth halibut, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,3.50%,3.60%
30229,302290090,"Other flat fish , fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,3.50%,3.60%
30231,302310000,Albacore or longfinned tunas (Thunnus alalunga),7%,,5.30%,3.60%
30232,302320000,Yellowfin tunas (Thunnus albacares),7%,,5.30%,3.60%
30233,302330000,Skipjack or stripe-bellied bonito,7%,,4.70%,3.60%
30234,302340000,Bigeye tunas (Thunnus obesus),7%,,,3.60%
30235,302351000,Atlantic bluefin tunas,7%,,,3.60%
30235,302352000,Pacific bluefin tunas,7%,,4.70%,3.60%
30236,302360000,Southern bluefin tunas(Thunnus maccoyii),7%,,,3.60%
30239,302390000,Other,7%,,4.70%,3.60%
30241,302410010,"Clupea pallasii, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,4.70%,3.60%
30241,302410090,"Herrings(Clupea harengus), fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302. 99)",7%,,4.70%,3.60%
30242,302420000,anchovies(Engraulis spp.),7%,,4.70%,3.60%
30243,302430000,"sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",7%,,4.70%,3.60%
30244,302440000,"mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",7%,,4.70%,3.60%
30245,302450000,"jack and horse mackerel (Trachurus spp.), cobia (Rachycentron canadum)",7%,,4.70%,3.60%
30246,302460000,Cobia(Rachycentron canadum),7%,,4.70%,3.60%
30247,302470000,Swordfish(Xiphias gladius),7%,,4.70%,3.60%
30249,302491000,Silver Pomfret (Pomfret genus),7%,,4.70%,3.60%
30249,302499000,Other,7%,,4.70%,3.60%
30251,302510000,"Cod(Gadus morhua, Gadus ogac, Gadus macrocephalus)",7%,,4.70%,3.60%
30252,302520000,Haddock(Melanogrammus aeglefinus),7%,,4.70%,3.60%
30253,302530000,Coalfish(Pollachius virens),7%,,4.70%,3.60%
30254,302540000,"Hake(Merluccius spp., Urophycis spp.)",7%,,4.70%,3.60%
30255,302550000,Alaska Pollack(Theragra chalcogramma),7%,,4.70%,3.60%
30256,302560000,"Blue whitings(Micromesistius poutassou, Micromesistius australis)",7%,,4.70%,3.60%
30259,302590000,Other,7%,,4.70%,3.60%
30271,302710000,Tilapia(oreochromis spp.),7%,,,3.60%
30272,302720000,"catfish(Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",10%,,6.70%,3.60%
30273,302730000,"Carp (Cyprinus spp., Caras-sius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylo-pharyngodon piceus, Catla catla, Labeo spp., Osteochi-lus hasselti, Leptobarbus ho-eveni, Megalobrama spp.)",7%,,4.70%,3.60%
30274,302740010,"Marbled eels, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,4.70%,3.60%
30274,302740020,"European eels, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,4.70%,3.60%
30274,302740090,"Other eels, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,4.70%,3.60%
30279,302790001,"Nile perch(Lates niloticus) , fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302. 99)",7%,,4.70%,3.60%
30279,302790090,"Snakeheads(Channa spp.), fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302. 99)",7%,,4.70%,3.60%
30281,302810010,"Endangered shark, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,5.30%,3.60%
30281,302810090,"Other sharks, fresh or chilled excluding livers and roes",7%,,5.30%,3.60%
30282,302820000,Rays and skates(Rajidae),7%,,4.70%,3.60%
30283,302830000,Toothfish(dissostichus spp.),7%,,4.70%,3.60%
30284,302840000,Seabass(Dicentrarchus spp.),7%,,4.70%,3.60%
30285,302850000,Seabream(Sparidae),7%,,4.70%,3.60%
30289,302891000,Scabber fish(Trichurius),7%,,4.70%,3.60%
30289,302892000,Yellow croaker(Pseudosicaena),7%,,4.70%,3.60%
30289,302893000,Tilapia,7%,,4.70%,3.60%
30289,302894000,Puffer fish,10%,,6.70%,3.60%
30289,302899001,"Other perch, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,4.70%,3.60%
30289,302899010,"Other endangered fish, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,4.70%,3.60%
30289,302899020,Fresh and cold flat scorpionfish genera(excluding edible fish offal of subheading 0302.91 to 0302.99),7%,,4.70%,3.60%
30289,302899030,Fresh and cold Jun scorpionfish genera (leaf scorpionfish fins)(excluding edible fish offal of subheading 0302.91 to 0302.99),7%,,4.70%,3.60%
30289,302899090,"Other fish, fresh or chilled(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,4.70%,3.60%
30291,302910010,"Livers, roes and milt of endangered fish, cold or chilled",7%,,,3.60%
30291,302910090,"Other fish livers, roes and milt, cold or chilled",7%,,,3.60%
30292,302920010,"Endangered Shark fins, cold or chilled",12%,,9%,3.60%
30292,302920090,"Other Shark fins, cold or chilled",12%,,9%,3.60%
30299,302990010,"Other edible endangered fish offals, cold or chilled",7%,,,3%
30299,302990020,"Other edible endangered fish offals of Turbots, flastfish, herring, mackerel, Pomfret, hairtail, Nile perch and other perch, fresh or chilled",7%,,,3%
30299,302990090,"Other edible fish offals of other fish , cold or chilled",7%,,,3%
30311,303110000,Sockeye salmon(red salmon) (Oncorhynchus nerka),7%,,4.70%,3%
30312,303120000,"Other Pacific salmon(Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",7%,,4.70%,3%
30313,303131000,Atlantic salmon,7%,5%,,3%
30313,303132000,Danube salmon,7%,5%,,3%
30314,303140000,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",12%,,,3.60%
30319,303190010,"Hucho bleekeri (excluding edible fish offal of subheading 0302.91 to 0302.99), frozen",10%,,6.70%,3%
30319,303190020,"Tslinling lenok(Brachymystax lenck)(excluding edible fish offal of subheading 0302.91 to 0302.99), frozen",10%,,6.70%,3%
30319,303190090,"Other salmon, frozen(excluding edible fish offal of subheading 0302.91 to 0302.99)",10%,,6.70%,3%
30323,303230000,Tilapia(oreochromis spp.),7%,,3.50%,3%
30324,303240000,"Catfish(Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",10%,,5%,0%
30325,303250000,"Carp (Cyprinus spp., Caras-sius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylo-pharyngodon piceus, Catla catla, Labeo spp., Osteochi-lus hasselti, Leptobarbus ho-eveni, Megalobrama spp.)",10%,,5%,0%
30326,303260010,"Marbled eels(Anguilla marmorata), frozen(excluding edible fish offal of subheading 0302.91 to 0302.99)",10%,,6.70%,3.60%
30326,303260020,"European eels, frozen(excluding edible fish offal of subheading 0302.91 to 0302.99)",10%,,6.70%,3.60%
30326,303260090,Other eels(Anguilla spp.(excluding edible fish offal of subheading 0302.91 to 0302.99); frozen,10%,,6.70%,3.60%
30329,303290001,"Nile perch(Lates niloticus) , frozen(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,3.50%,0%
30329,303290090,"Snakeheads(Channa spp.), frozen(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,3.50%,0%
30331,303311000,Greenland halibut,7%,5%,4.70%,3%
30331,303319010,Frozen Atlantic agent sole (commonplace sole)(excluding edible fish offal of subheading 0302. 91 to 0302.99),10%,,6.70%,3%
30331,303319090,Frozen horse tongue sole(excluding edible fish offal of subheading 0302.91 to 0302.99),10%,,6.70%,3%
30332,303320000,Plaice (Pleuronectes platessa),7%,2%,4.70%,3.60%
30333,303330000,Sole (Solea spp.),7%,,4.70%,3.60%
30334,303340000,Turbots(Psetta maxima),7%,,5.60%,3%
30339,303390010,Frozen arrow tooth sole in Asia(excluding edible fish offal of subheading 0302.91 to 0302.99),7%,,5.60%,3%
30339,303390090,"Other flatfish(Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae) frozen(excluding edible fish offal of subheading 0302.91 to 0302.99)",7%,,5.60%,3%
30341,303410000,Albacore or longfinned tunas (Thunnus alalunga),7%,6%,5.30%,3.60%
30342,303420000,Yellowfin tunas (Thunnus albacares),7%,6%,5.30%,3.60%
30343,303430000,Skipjack or belted bonito,7%,,5.30%,7.80%
30344,303440000,Bigeye tunas(Thunnus obesus),7%,6%,,3.60%
30345,303451000,Atlantic bluefin tunas,7%,6%,,3.60%
30345,303452000,pacific bluefin tunas,7%,6%,5.30%,3.60%
30346,303460000,Southern bluefin tunas(Thunnus maccoyii),7%,6%,,3.60%
30349,303490000,Other,7%,,5.30%,3.60%
30351,303510010,Frozen Pacific herring(excluding edible fish offal of subheading 0302.91 to 0302.99),7%,2%,4.70%,3%
30351,303510090,Herrings(Clupea harengus) Frozen(excluding edible fish offal of subheading 0302.91 to 0302.99),7%,2%,4.70%,3%
