HS6,HSCODE,NM_EN,NM_KO
30214,302140000,atlantic salmon salmo salar danube salmon hucho hucho ,대서양 연어[살모 살라(Salmo salar)]와 다뉴브 연어[후코 후코(Hucho hucho)]
30222,302220000,plaice platessa ,가자미[플루로넥테스 플라테사(Pleuronectes platessa)]
30223,302230000,sole solea spp ,서대[솔레아(Solea)종]
30224,302240000,turbots maxima ,터벗(turbots)[프세타 맥시마(Psetta maxima)]
30231,302310000,longfinned tunas alalunga ,날개다랑어나 긴지느러미 다랑어[터너스 알라룽가(Thunnus alalunga)]
30232,302320000,yellowfin tunas thunnus albacares ,황다랑어[터너스 알바카레스(Thunnus albacares)]
30233,302330000,skipjack stripe-bellied bonito ,가다랑어ㆍ줄무늬 버니토
30234,302340000,bigeye tunas obesus ,눈다랑어[터너스 오베서스(Thunnus obesus)]
30235,302351000,atlantic bluefin tunas thunnus thynnus ,대서양 참다랑어[터너스 티너스 (Thunnus thynnus)]
30235,302352000,pacific bluefin tunas orientalis ,태평양 참다랑어[터너스 오리엔탈리스(Thunnus orientalis)]
30236,302360000,southern bluefin tunas maccoyii ,남방 참다랑어[터너스 맥코이(Thunnus maccoyii)]
30239,302399000,cut bluefin tuna ,
30241,302410000,herrings clupea harengus pallasii ,청어[클루페아 하렌구스(Clupea harengus)ㆍ클루페아 팔라시(Clupea pallasii)]
30242,302420000,anchovies engraulis spp ,멸치[엔그라울리스(Engraulis)종]
30243,302430000,sardines sardina pilchardus sardinella sardinella spp brisling sprats sprattus sprattus ,"정어리[사르디나 필차르두스(Sardina pilchardus)ㆍ사르디노프스(Sardinops)종], 사르디넬라[사르디넬라(Sardinella)종], 브리스링(brisling)이나 스프랫(sprats)[스프라투스 스프라투스(Sprattus sprattus)]"
30244,302440000,mackerel scomber scombrus australasicus japonicus ,고등어[스콤버 스콤브루스(Scomber scombrus)ㆍ스콤버 오스트랄라시쿠스(Scomber australasicus)ㆍ스콤버 자포니쿠스(Scomber japonicus)]
30245,302450000,jack horse mackerel trachurus spp ,전갱이[트라커러스(Trachurus)종]
30246,302460000,cobia canadum ,날쌔기[라키센트론 카나둠(Rachycentron canadum)]
30249,302491000,seerfishes scomberomorus spp ,삼치[스콤버로모러스(Scomberomorus)종]
30249,302492000,silver pomfrets pampus spp ,병어[팜푸스(Pampus)종]
30252,302520000,haddock melanogrammus aeglefinus ,해덕[멜라노그라무스 애그레피누스(Melanogrammus aeglefinus)]
30253,302530000,coalfish pollachius virens ,검정대구[폴라치우스 비렌스(Pollachius virens)]
30254,302540000,hake merluccius spp. urophycis spp ,민대구[메루키우스(Merluccius)종ㆍ유르피키스(Urophycis)종]
30255,302550000,alaska pollack theragra chalcogramma ,명태[테라그라 찰코그라마(Theragra chalcogramma)]
30256,302560000,blue whitings micromesistius poutassou australis ,블루 화이팅스(blue whitings)[마이크로메시스티우스 포우타소우(Micromesistius poutassou)ㆍ마이크로메시스티우스 오스트랄리스(Micromesistius australis)]
30271,302710000,tilapias oreochromis spp ,틸라피아[오레오크로미스(Oreochromis)종]
30272,302720000,catfish pangasius spp. silurus spp. clarias spp. ictalurus spp ,메기[판가시우스(Pangasius)종ㆍ실루러스(Silurus)종ㆍ클라리아스(Clarias)종ㆍ익타루러스(Ictalurus)종]
30281,302810000,dogfish other sharks ,곱상어와 그 밖의 상어
30282,302820000,rays skates rajidae ,가오리와 홍어[라지대(Rajidae)과]
30283,302830000,toothfish dissostichus spp ,이빨고기[디소스티쿠스(Dissostichus)종]
30284,302840000,seabass dicentrarchus spp ,농어[디센트라르쿠스(Dicentrarchus)종]
30285,302850000,seabream sparidae ,돔[스파리대(Sparidae)과]
30289,302891000,yellow tail ,방어
30289,302892000,hair tail ,갈치
30289,302893000,conger eel ,붕장어
30289,302894000,sharp eel ,갯장어
30289,302895000,horn fish hyporhampus sajori ,학꽁치(Hyporhampus sajori)
30289,302896000,seabream other sparidae ,돔[스파리대(Sparidae)과는 제외한다]
30289,302899010,japanese spanish mackerel scomberomorus niphonius ,삼치
30289,302899020,puffers ,복어
30289,302899030,pomfret ,병어
30289,302899040,angler monkfish ,아귀
30290,302902000,roes ,어란(魚卵)
30291,302912000,roes milt ,어란(魚卵)ㆍ어백(魚白)
30292,302920000,shark fins ,상어 지느러미
30311,303110000,sockeye salmon red salmon oncorhynchus nerka ,소크아이 연어[홍연어(red salmon)][옹코링쿠스 넬카(Oncorhynchus nerka)]
30312,303120000,other pacific salmon oncorhynchus gorbuscha keta tschawytscha kisutch masou rhodurus ,그 밖의 태평양 연어[옹코링쿠스 고르부스카(Oncorhynchus gorbuscha)ㆍ옹코링쿠스 케타(Oncorhynchus keta)ㆍ옹코링쿠스 차비차(Oncorhynchus tschawytscha)ㆍ옹코링쿠스 키수츠(Oncorhynchus kisutch)ㆍ옹코링쿠스 마소(Oncorhynchus masou)ㆍ옹코링쿠스 로두루스(Oncorhynchus rhodurus)]
30325,303250000,carp cyprinus spp. carassius spp. ctenopharyngodon idellus hypophthalmichthys spp. cirrhinus spp. mylopharyngodon piceus catla catla labeo spp. osteochilus hasselti leptobarbus hoeveni megalobrama spp ,잉어[사이프리너스(Cyprinus)종ㆍ카라시우스(Carassius)종ㆍ 크테노파린고돈 이델루스(Ctenopharyngodon idellus)ㆍ하이포프탈미크티스(Hypophthalmichthys)종ㆍ시리누스(Cirrhinus)종ㆍ마일로파린고돈 피세우스(Mylopharyngodon piceus)ㆍ카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)종ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)종]
30326,303260000,eels anguilla spp ,뱀장어[앙귈라(Anguilla)종]
30331,303310000,halibut reinhardtius hippoglossoides hippoglossus hippoglossus hippoglossus stenolepis ,넙치[레인하드티우스 히포글러소이데스(Reinhardtius hippoglossoides)ㆍ히포글러서스 히포글러서스(Hippoglossus hippoglossus)ㆍ히포글러서스 스테노레피스(Hippoglossus stenolepis)]
30342,303420000,frozen yellowfin tuna head ,
30342,303420000,yellowfin tunathunnus meat frozen ,
30342,303420000,yellowfin tuna neck meat frozen ,
30342,303420000,yellowfin tuna neck meat frozen ,
30344,303440000,bigeye tunathunnus obesus neck meat frozen ,
30344,303440000,bigeye tuna cheek meat frozen ,
30345,303450000,bluefin tuna neck meat frozen ,
30345,303450000,bluefin tuna meat frozen libya ,
30345,303450000,frozen bluefin tuna cheek ,
30357,303570000,swordfish xiphias gladius ,황새치[자이피어스 글래디어스(Xiphias gladius)]
30359,303591000,seerfishes scomberomorus spp ,삼치[스콤버로모러스(Scomberomorus)종]
30359,303592000,pacific saury cololabis saira ,꽁치[콜로라비스 사이라(Cololabis saira)]
30360,303600000,cod headfrozen russian frozen cod ,
30362,303620000,spp neck meat frozen ,
30369,303691000,whip tail hoki ,새꼬리민태
30379,303799093,skate nose frozen ,
30382,303821000,rays ,가오리
30384,303840000,sea bass dicentrarchus spp ,농어[디센트라르쿠스(Dicentrarchus)종]
30389,303891000,sable fish ,은대구
30389,303893010,red horsehead fish branchiostegus japonicus ,옥돔[브랜치오스테거스 자포니커스(Branchiostegus Japonicus)]
30389,303899010,white sea smelt ,보리멸
30389,303899020,thorny ,홍살치
30389,303899030,john dory ,달고기
30389,303899040,atka mackerel ,임연수어
30389,303899050,rock fish including pacific ocean perch ,볼낙(적어를 포함한다)
30389,303899070,hagfish pacific atlantic ,먹장어(대서양  태평양)
30389,303899080,milk fish ,밀크피쉬
30389,303899091,croakers ,민어
30389,303899092,sand lance ,까나리
30389,303899093,toothfish other dissostichus spp ,이빨고기[디소스티쿠스(Dissostichus)종은 제외한다]
30389,303899099,other fishesprotonibea dicanthus ,
30389,303899099,atlantic bumper frozen frozen lagna senegal ,
30390,303902090,frozen immature herring roe ,
30391,303912010,alaska pollack ,명란
30399,303990000,other edible fish offal frozen frozen ling tail ,
30399,303990000,other edible fish offal frozen frozen ling skin ,
30420,304203000,fillet codfrozen ,
30420,304209000,horn fish fillets ,
30441,304410000,pacific salmon oncorhynchus nerka gorbuscha keta tschawytscha kisutch masou rhodurus atlantic salmon salmo salar danube salmon hucho hucho ,"태평양 연어[옹코링쿠스 넬카(Oncorhynchus nerka)ㆍ옹코링쿠스 고르부스카(Oncorhynchus gorbuscha)ㆍ옹코링쿠스 케타(Oncorhynchus keta)ㆍ옹코링쿠스 차비차(Oncorhynchus tschawytscha)ㆍ옹코링쿠스 키수츠(Oncorhynchus kisutch)ㆍ옹코링쿠스 마소(Oncorhynchus masou)ㆍ옹코링쿠스 로두루스(Oncorhynchus rhodurus)], 대서양 연어[살모 살라(Salmo salar)], 다뉴브 연어[후코 후코(Hucho hucho)]"
30442,304420000,trout salmo trutta mykiss oncorhynchus clarki gilae apache chrysogaster ,송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)]
30443,304431000,plaice ,가자미
30444,304440000,fish families gadidae macrouridae melanonidae merlucciidae moridae muraenolepididae ,브레그마세로티대(Bregmacerotidae)과ㆍ유클리티대(Euclichthyidae)과ㆍ가디대(Gadidae)과ㆍ마크로우리대(Macrouridae)과ㆍ멜라노니대(Melanonidae)과ㆍ메르루치대(Merlucciidae)과ㆍ모리대(Moridae)과ㆍ무라에놀레피디대(Muraenolepididae)과의 어류
30448,304482000,skates ,홍어
30459,304599010,fish surimi ,연육
30463,304630000,nile perch ,나일 퍼치[라테스 니로티쿠스(Lates niloticus)]
30471,304710000,cod gadus morhua gadus ogac gadus macrocephalus ,대구[가두스 모르화(Gadus morhua)ㆍ가두스 오각(Gadus ogac)ㆍ가두스 마크로세팔루스(Gadus macrocephalus)]
30481,304810000,salmon fillets wild alaskan sockeye salmon ,
30481,304810000,salmon fillets atlantic salmon fillet salt ,
30481,304810000,salmon fillets atlantic salmon fillets ,
30487,304871000,bluefin tunas ,참다랑어
30488,304881000,dogfish other sharks ,"곱상어, 그 밖의 상어"
30488,304882000,rays ,가오리
30489,304891000,conger-eel ,붕장어의 것
30489,304892000,toothfish other dissostichus spp ,이빨고기[디소스티쿠스(Dissostichus)종은 제외한다]의 것
30489,304893000,tilapia other oreochromis spp ,틸라피아[오레오크로미스(Oreochromis)종은 제외한다]의 것
30489,304894000,file fish ,쥐치의 것
30490,304901000,frozen alaska pollack surimi ,
30491,304911000,frozen fish surimi ,냉동 연육
30499,304999090,southern bluefin tuna cheek meat frozen ,
30510,305100000,flours meals pellets fish fit human consumption ,어류의 고운 가루ㆍ거친 가루와 펠릿(pellet)(식용에 적합한 것으로 한정한다)
30510,305100000,flour fish fit human consumption other flour shrimp fit human consumption oak mushrooms powder dried sea tangle powder other prepared anchovies prepared other tableware kitchenware wood thicker powder species ,
30520,305202000,roes milt ,건조한 어란(魚卵)과 어백(魚白)
30520,305203000,roes milt ,훈제한 어란(魚卵)과 어백(魚白)
30520,305204020,yellow corvina ,조기의 것
30520,305204030,herrings ,청어의 것
30530,305301000,fish fillet ,
30530,305301000,fish fillets dry juchi pyrrette ,
30530,305301000,fish fillet ,
30543,305430000,trout salmo trutta mykiss oncorhynchus clarki gilae apache chrysogaster ,송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)]
30549,305491000,anchovies ,멸치
30549,305492000,alaska pollack ,명태
30551,305510000,cod skins ,
30552,305520000,tilapias oreochromis spp catfish pangasius spp. silurus spp. clarias spp. ictalurus spp carp cyprinus spp. carassius spp. ctenopharyngodon idellus hypophthalmichthys spp. cirrhinus spp. mylopharyngodon piceus catla catla labeo spp. osteochilus hasselti leptobarbus hoeveni megalobrama spp eels anguilla spp nile perch snakeheads channa spp ,"틸라피아[오레오크로미스(Oreochromis)종], 메기[판가시우스(Pangasius)종ㆍ실루러스(Silurus)종ㆍ클라리아스(Clarias)종ㆍ익타루러스(Ictalurus)종], 잉어[사이프리너스(Cyprinus)종ㆍ카라시우스(Carassius)종ㆍ크테노파린고돈 이델루스(Ctenopharyngodon idellus)ㆍ하이포프탈미크티스(Hypophthalmichthys)종ㆍ시리누스(Cirrhinus)종ㆍ마일로파린고돈 피세우스(Mylopharyngodon piceus)ㆍ카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)종ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)종], 뱀장어[앙귈라(Anguilla)종], 나일 퍼치[라테스 니로티쿠스(Lates niloticus)], 가물치[카나(Channa)종]"
30553,305530000,fish families gadidae macrouridae melanonidae merlucciidae moridae muraenolepididae other cod gadus morhua gadus ogac gadus macrocephalus ,대구[가두스 모르화(Gadus morhua)ㆍ가두스 오각(Gadus ogac)ㆍ가두스 마크로세팔루스(Gadus macrocephalus)] 이외의 브레그마세로티대(Bregmacerotidae)과ㆍ유클리티대(Euclichthyidae)과ㆍ가디대(Gadidae)과ㆍ마크로우리대(Macrouridae)과ㆍ멜라노니대(Melanonidae)과ㆍ메르루치대(Merlucciidae)과ㆍ모리대(Moridae)과ㆍ무라에놀레피디대(Muraenolepididae)과의 어류
30554,305541000,anchovies engraulis spp ,멸치[엔그라울리스(Engraulis)종]
30559,305592000,anchovy ,멸치
30559,305592000,anchovydried coated chito acid food ,
30559,305593000,alaska pollack head russian ,
30559,305593000,alaska pollack skin skin fish ,
30559,305598000,blenny gunnel including juvenile white bait ,베도라치(실치)
30559,305599000,shark meat dried shark meat ,
30563,305631000,salt anchovy ,멸치젓
30569,305691000,salmon ,연어
30569,305692000,trout ,송어
30569,305694000,sardines ,정어리
30569,305695000,mackerel ,고등어
30569,305696000,yellow corvina ,조기
30569,305698000,saury including horn fish ,꽁치(학꽁치를 포함한다)
30572,305721000,cod gadus morhua gadus ogac gadus macrocephalus ,대구[가두스 모르화(Gadus morhua)ㆍ가두스 오각(Gadus ogac)ㆍ가두스 마크로세팔루스(Gadus macrocephalus)]의 것
30614,306143010,smoked ,훈제한 것
30624,306241010,blue crab ,꽃게
30624,306241020,snow crab ,대게
30631,306310000,rock lobster other sea crawfish palinurus spp. panulirus spp. jasus spp ,닭새우류[팔리누루스(Palinurus)종ㆍ파누리루스(Panulirus)종ㆍ자수스(Jasus)종]
30632,306320000,lobsters homarus spp ,바닷가재[호마루스(Homarus)종]
30633,306331000,blue crabs ,꽃게
30633,306332000,snow crabs ,대게
30634,306340000,lobsters nephrops norvegicus ,노르웨이 바닷가재[네프로프스 노르베지쿠스(Nephrops norvegicus)]
30635,306350000,cold-water shrimps prawns pandalus spp. crangon crangon ,냉수성(冷水性) 새우류[판달러스(Pandalus)종ㆍ크란곤 크란곤(Crangon crangon)]
30636,306360000,other shrimps prawns ,그 밖의 새우류
30639,306390000,other including flours meals pellets crustaceans fit human consumption ,기타[식용에 적합한 것으로서 고운 가루ㆍ거친 가루와 펠릿(pellet)을 포함한다]
30692,306924020,airtight containers ,밀폐용기에 넣지 않은 것
30721,307210000,live fresh ,"살아 있는 것, 신선한 것, 냉장한 것"
30741,307411000,cuttle fish ,갑오징어
30741,307412000,squid ,오징어
30742,307421010,sepia officinalis rossia macrosoma sepiola spp ,세피아 오피시날리스(Sepia officinalis)ㆍ로시아 마크로소마(Rossia macrosoma)ㆍ세피올라(Sepiola)종
30743,307432010,ommastrephes loligo spp. nototodarus spp. sepioteuthis spp ,옴마스트레페스(Ommastrephes)종ㆍ로리고(Loligo)종ㆍ노토토다루스(Nototodarus)종ㆍ세피오투디스(Sepioteuthis)종
30749,307492010,cuttle fish sepia officinalis rossia macrosoma sepiola spp squid ommastrephes loligo spp. nototodarus spp. sepioteuthis spp ,갑오징어[세피아 오피시날리스(Sepia officinalis)ㆍ로시아 마크로소마(Rossia macrosoma)ㆍ세피올라(Sepiola)종]와 오징어[옴마스트레페스(Ommastrephes)종ㆍ로리고(Loligo)종ㆍ노토토다루스(Nototodarus)종ㆍ세피오투디스(Sepioteuthis)종]
30752,307521000,octopus ,문어
30752,307522000,poulp squid ,낙지
30752,307523000,webfoot octopus ,쭈꾸미
30771,307711010,hard clams ,치패(稚貝)
30771,307715000,butter clam ,개조개
30772,307721000,cockles ,새조개
30772,307722000,hen clams ,개량조개
30772,307723000,baby clams ,바지락
30772,307724000,ark shell ,피조개
30781,307810000,live fresh chilled abalone haliotis spp ,"살아있거나, 신선하거나 냉장한 전복[할리오티스(Haliotis)종]"
30782,307820000,live fresh chilled stromboid conchs strombus spp ,"살아있거나, 신선하거나 냉장한 수정고둥류[스트롬버스(Strombus)종]"
30783,307830000,frozen abalone haliotis spp ,냉동한 전복[할리오티스(Haliotis)종]
30784,307840000,frozen stromboid conchs strombus spp ,냉동한 수정고둥류[스트롬버스(Strombus)종]
30787,307871000,dried ,건조한 것
30787,307872000,salted brine ,염장이나 염수장한 것
30791,307914000,marsh clams ,재첩
30792,307921000,adductors shell fish ,개아지살
30792,307922000,top shells ,소라
30890,308903010,sea-squirts ,우렁쉥이(멍게)
40110,401100000,fat content weight exceeding ,지방분이 전 중량의 100분의 1 이하인 것
40120,401200000,fat content weight exceeding exceeding ,지방분이 전 중량의 100분의 1 초과 100분의 6 이하인 것
40140,401401000,frozen cream ,냉동크림
40210,402101010,skim milk powder ,탈지(脫脂)분유
40221,402211000,whole milk powder ,전지분유
40291,402911000,unsweetened milk ,무가당연유(無加糖煉乳)
40299,402991000,sweetened milk ,가당연유(加糖煉乳)
40310,403101000,fluid ,액체 상태인 것
40390,403901000,butter milk ,버터밀크
40390,403902000,curdled milk cream ,응고밀크와 응고크림
40390,403903000,kephir ,케피어(kephir)
40390,403909000,other acidified milk cream ,그 밖의 발효되거나 산성화된 밀크와 크림
40490,404901000,fat content weight exceeding ,지방분이 전 중량의 100분의 1.5 이하인 것
40490,404902000,fat content weight exceeding ,지방분이 전 중량의 100분의 1.5를 초과하는 것
40510,405100000,butter ,버터
40520,405200000,dairy spreads ,데어리 스프레드(dairy spread)
40610,406101010,mozzarella cheese ,모차렐라 치즈(Mozzarella cheese)
40610,406101020,cream cheese ,크림 치즈
40610,406102000,curd ,커드(curd)
40620,406200000,grated powdered cheese kinds ,갈았거나 가루 모양으로 한 모든 종류의 치즈
