hscode,품명,기본세율,FTA,hs6
102295991,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",10.200 % + 93.100 EUR DTN ,0.00%,10229
102295999,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102296100,For slaughter,10.200 % + 93.100 EUR DTN ,0.00%,10229
102296910,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",10.200 % + 93.100 EUR DTN ,0.00%,10229
102296920,Of the Schwyz and Fribourg breeds,10.200 % + 93.100 EUR DTN ,0.00%,10229
102296930,Of the spotted Simmental breed,10.200 % + 93.100 EUR DTN ,0.00%,10229
102296990,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102299110,"Not yet having any permanent teeth, of a weight of not less than 350|kg but not more than 500|kg",10.200 % + 93.100 EUR DTN ,0.00%,10229
102299190,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102299921,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",10.200 % + 93.100 EUR DTN ,0.00%,10229
102299929,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102299991,"Not yet having any permanent teeth, of a weight of not less than 350|kg but not more than 500|kg",10.200 % + 93.100 EUR DTN ,0.00%,10229
102299999,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102310000,Pure-bred breeding animals,0.00%,,10231
102391010,Of a weight exceeding 160 kg,10.200 % + 93.100 EUR DTN ,0.00%,10239
102391090,Other,10.200 % + 93.100 EUR DTN ,0.00%,10239
102399000,Other,0.00%,,10239
102902000,Pure-bred breeding animals,0.00%,,10290
102909110,Of a weight exceeding 160 kg,10.200 % + 93.100 EUR DTN ,0.00%,10290
102909190,Other,10.200 % + 93.100 EUR DTN ,0.00%,10290
102909900,Other,0.00%,,10290
103100000,Pure-bred breeding animals,0.00%,0.00%,10310
103911000,Domestic species,41.200 EUR DTN ,0.00%,10391
103919000,Other,0.00%,0.00%,10391
103921100,"Sows having farrowed at least once, of a weight of not less than 160|kg",35.100 EUR DTN ,0.00%,10392
103921900,Other,41.200 EUR DTN ,0.00%,10392
103929000,Other,0.00%,0.00%,10392
104101000,Pure-bred breeding animals,0.00%,0.00%,10410
104103000,Lambs (up to a year old),80.500 EUR DTN ,0.00%,10410
104108000,Other,80.500 EUR DTN ,0.00%,10410
104201000,Pure-bred breeding animals,3.20%,0.00%,10420
104209000,Other,80.500 EUR DTN ,0.00%,10420
105111100,Laying stocks,52.000 EUR MIL ,0.00%,10511
105111900,Other,52.000 EUR MIL ,0.00%,10511
105119100,Laying stocks,52.000 EUR MIL ,0.00%,10511
105119900,Other,52.000 EUR MIL ,0.00%,10511
105120000,Turkeys,152.000 EUR MIL ,0.00%,10512
105130000,Ducks,52.000 EUR MIL ,0.00%,10513
105140000,Geese,152.000 EUR MIL ,0.00%,10514
105150000,Guinea fowls,52.000 EUR MIL ,0.00%,10515
105940000,Fowls of the species Gallus domesticus,20.900 EUR DTN ,0.00%,10594
105991000,Ducks,32.300 EUR DTN ,0.00%,10599
105992000,Geese,31.600 EUR DTN ,0.00%,10599
105993000,Turkeys,23.800 EUR DTN ,0.00%,10599
105995000,Guinea fowls,34.500 EUR DTN ,0.00%,10599
106110000,Primates,0.00%,0.00%,10611
106120000,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0.00%,0.00%,10612
106130000,Camels and other camelids (Camelidae),0.00%,0.00%,10613
106141000,Domestic rabbits,3.80%,0.00%,10614
106149000,Other,0.00%,0.00%,10614
106190000,Other,0.00%,0.00%,10619
106200000,Reptiles (including snakes and turtles),0.00%,0.00%,10620
106310000,Birds of prey,0.00%,0.00%,10631
106320000,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",0.00%,0.00%,10632
106330000,Ostriches; emus (Dromaius novaehollandiae),0.00%,0.00%,10633
106391000,Pigeons,6.40%,0.00%,10639
106398000,Other,0.00%,0.00%,10639
106410000,Bees,0.00%,0.00%,10641
106490000,Other,0.00%,0.00%,10649
106900000,Other,0.00%,0.00%,10690
201100021,Of bison,12.800 % + 176.800 EUR DTN ,0.00%,20110
201100029,Other,12.800 % + 176.800 EUR DTN ,0.00%,20110
201100092,Of bison,12.800 % + 176.800 EUR DTN ,0.00%,20110
201100094,Other,12.800 % + 176.800 EUR DTN ,0.00%,20110
201100097,Of bison,12.800 % + 176.800 EUR DTN ,0.00%,20110
201100098,Other,12.800 % + 176.800 EUR DTN ,0.00%,20110
201202021,Of bison,12.800 % + 176.800 EUR DTN ,0.00%,20120
201202029,Other,12.800 % + 176.800 EUR DTN ,0.00%,20120
201202092,Of bison,12.800 % + 176.800 EUR DTN ,0.00%,20120
201202094,Other,12.800 % + 176.800 EUR DTN ,0.00%,20120
201202097,Of bison,12.800 % + 176.800 EUR DTN ,0.00%,20120
201202098,Other,12.800 % + 176.800 EUR DTN ,0.00%,20120
201203021,Of bison,12.800 % + 141.400 EUR DTN ,0.00%,20120
201203029,Other,12.800 % + 141.400 EUR DTN ,0.00%,20120
201203092,Of bison,12.800 % + 141.400 EUR DTN ,0.00%,20120
201203094,Other,12.800 % + 141.400 EUR DTN ,0.00%,20120
201203097,Of bison,12.800 % + 141.400 EUR DTN ,0.00%,20120
201203098,Other,12.800 % + 141.400 EUR DTN ,0.00%,20120
201205021,Of bison,12.800 % + 212.200 EUR DTN ,0.00%,20120
201205029,Other,12.800 % + 212.200 EUR DTN ,0.00%,20120
201205092,Of bison,12.800 % + 212.200 EUR DTN ,0.00%,20120
201205094,Other,12.800 % + 212.200 EUR DTN ,0.00%,20120
201205097,Of bison,12.800 % + 212.200 EUR DTN ,0.00%,20120
201205098,Other,12.800 % + 212.200 EUR DTN ,0.00%,20120
201209011,Of bison,12.800 % + 265.200 EUR DTN ,0.00%,20120
201209015,Other,12.800 % + 265.200 EUR DTN ,0.00%,20120
201209091,Of bison,12.800 % + 265.200 EUR DTN ,0.00%,20120
201209099,Other,12.800 % + 265.200 EUR DTN ,0.00%,20120
201300031,Of bison,12.800 % + 303.400 EUR DTN ,0.00%,20130
201300039,Other,12.800 % + 303.400 EUR DTN ,0.00%,20130
201300041,Of bison,12.800 % + 303.400 EUR DTN ,0.00%,20130
201300049,Other,12.800 % + 303.400 EUR DTN ,0.00%,20130
201300090,Other,12.800 % + 303.400 EUR DTN ,0.00%,20130
202100011,Of bison,12.800 % + 176.800 EUR DTN ,0.00%,20210
202100015,Other,12.800 % + 176.800 EUR DTN ,0.00%,20210
202100091,Of bison,12.800 % + 176.800 EUR DTN ,0.00%,20210
202100099,Other,12.800 % + 176.800 EUR DTN ,0.00%,20210
202201011,Of bison,12.800 % + 176.800 EUR DTN ,0.00%,20220
202201015,Other,12.800 % + 176.800 EUR DTN ,0.00%,20220
202201091,Of bison,12.800 % + 176.800 EUR DTN ,0.00%,20220
202201099,Other,12.800 % + 176.800 EUR DTN ,0.00%,20220
202203011,Of bison,12.800 % + 141.400 EUR DTN ,0.00%,20220
202203015,Other,12.800 % + 141.400 EUR DTN ,0.00%,20220
202203081,Of bison,12.800 % + 141.400 EUR DTN ,0.00%,20220
202203082,Other,12.800 % + 141.400 EUR DTN ,0.00%,20220
202203083,Of bison,12.800 % + 141.400 EUR DTN ,0.00%,20220
202203084,Other,12.800 % + 141.400 EUR DTN ,0.00%,20220
202203085,Of bison,12.800 % + 141.400 EUR DTN ,0.00%,20220
202203086,Other,12.800 % + 141.400 EUR DTN ,0.00%,20220
202203087,Of bison,12.800 % + 141.400 EUR DTN ,0.00%,20220
202203088,Other,12.800 % + 141.400 EUR DTN ,0.00%,20220
202205011,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20220
202205015,Other,12.800 % + 221.100 EUR DTN ,0.00%,20220
202205091,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20220
202205099,Other,12.800 % + 221.100 EUR DTN ,0.00%,20220
202209011,Of bison,12.800 % + 265.300 EUR DTN ,0.00%,20220
202209015,Other,12.800 % + 265.300 EUR DTN ,0.00%,20220
202209091,Of bison,12.800 % + 265.300 EUR DTN ,0.00%,20220
202209099,Other,12.800 % + 265.300 EUR DTN ,0.00%,20220
202301011,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20230
202301015,Other,12.800 % + 221.100 EUR DTN ,0.00%,20230
202301081,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20230
202301082,Other,12.800 % + 221.100 EUR DTN ,0.00%,20230
202301083,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20230
202301084,Other,12.800 % + 221.100 EUR DTN ,0.00%,20230
202301085,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20230
202301086,Other,12.800 % + 221.100 EUR DTN ,0.00%,20230
202301087,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20230
202301088,Other,12.800 % + 221.100 EUR DTN ,0.00%,20230
202305011,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20230
202305015,Other,12.800 % + 221.100 EUR DTN ,0.00%,20230
202305081,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20230
202305082,Other,12.800 % + 221.100 EUR DTN ,0.00%,20230
202305083,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20230
202305084,Other,12.800 % + 221.100 EUR DTN ,0.00%,20230
202305085,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20230
202305086,Other,12.800 % + 221.100 EUR DTN ,0.00%,20230
202305087,Of bison,12.800 % + 221.100 EUR DTN ,0.00%,20230
202305088,Other,12.800 % + 221.100 EUR DTN ,0.00%,20230
202309011,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309015,Other,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309041,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309042,Other,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309043,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309044,Other,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309045,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309046,Other,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309047,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309048,Other,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309070,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",12.800 % + 304.100 EUR DTN ,0.00%,20230
202309075,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",12.800 % + 304.100 EUR DTN ,0.00%,20230
202309080,Other,12.800 % + 304.100 EUR DTN ,0.00%,20230
202309090,Other,12.800 % + 304.100 EUR DTN ,0.00%,20230
203111000,Of domestic swine,53.600 EUR DTN ,0.00%,20311
203119000,Other,0.00%,0.00%,20311
203121100,Hams and cuts thereof,77.800 EUR DTN ,0.00%,20312
203121900,Shoulders and cuts thereof,60.100 EUR DTN ,0.00%,20312
203129000,Other,0.00%,0.00%,20312
203191100,Fore-ends and cuts thereof,60.100 EUR DTN ,0.00%,20319
203191300,"Loins and cuts thereof, with bone in",86.900 EUR DTN ,0.00%,20319
203191500,Bellies (streaky) and cuts thereof,46.700 EUR DTN ,0.00%,20319
203195510,"Tenderloin, presented separately",86.900 EUR DTN ,0.00%,20319
203195515,Loins,86.900 EUR DTN ,0.00%,20319
203195525,Cuts,86.900 EUR DTN ,0.00%,20319
203195530,Hams,86.900 EUR DTN ,0.00%,20319
203195590,Other,86.900 EUR DTN ,0.00%,20319
203195900,Other,86.900 EUR DTN ,0.00%,20319
203199000,Other,0.00%,0.00%,20319
203211000,Of domestic swine,53.600 EUR DTN ,0.00%,20321
203219000,Other,0.00%,0.00%,20321
203221100,Hams and cuts thereof,77.800 EUR DTN ,0.00%,20322
203221900,Shoulders and cuts thereof,60.100 EUR DTN ,0.00%,20322
203229000,Other,0.00%,0.00%,20322
203291100,Fore-ends and cuts thereof,60.100 EUR DTN ,0.00%,20329
203291300,"Loins and cuts thereof, with bone in",86.900 EUR DTN ,0.00%,20329
203291500,Bellies (streaky) and cuts thereof,46.700 EUR DTN ,0.00%,20329
203295520,Loins,86.900 EUR DTN ,0.00%,20329
203295530,Cuts,86.900 EUR DTN ,0.00%,20329
203295591,"Tenderloin, presented separately",86.900 EUR DTN ,0.00%,20329
203295592,Hams,86.900 EUR DTN ,0.00%,20329
203295599,Other,86.900 EUR DTN ,0.00%,20329
203295900,Other,86.900 EUR DTN ,0.00%,20329
203299000,Other,0.00%,0.00%,20329
204100010,Of domestic lamb,12.800 % + 171.300 EUR DTN ,0.00%,20410
204100090,Other,12.800 % + 171.300 EUR DTN ,0.00%,20410
204210010,Of domestic sheep,12.800 % + 171.300 EUR DTN ,0.00%,20421
204210090,Other,12.800 % + 171.300 EUR DTN ,0.00%,20421
204221010,Of domestic sheep,12.800 % + 119.900 EUR DTN ,0.00%,20422
204221090,Other,12.800 % + 119.900 EUR DTN ,0.00%,20422
204223010,Of domestic sheep,12.800 % + 188.500 EUR DTN ,0.00%,20422
204223090,Other,12.800 % + 188.500 EUR DTN ,0.00%,20422
204225010,Of domestic sheep,12.800 % + 222.700 EUR DTN ,0.00%,20422
204225090,Other,12.800 % + 222.700 EUR DTN ,0.00%,20422
204229010,Of domestic sheep,12.800 % + 222.700 EUR DTN ,0.00%,20422
204229090,Other,12.800 % + 222.700 EUR DTN ,0.00%,20422
204230011,Of lamb,12.800 % + 311.800 EUR DTN ,0.00%,20423
204230019,Other,12.800 % + 311.800 EUR DTN ,0.00%,20423
204230091,Of lamb,12.800 % + 311.800 EUR DTN ,0.00%,20423
204230099,Other,12.800 % + 311.800 EUR DTN ,0.00%,20423
204300010,Of domestic lamb,12.800 % + 128.800 EUR DTN ,0.00%,20430
204300090,Other,12.800 % + 128.800 EUR DTN ,0.00%,20430
204410010,Of domestic sheep,12.800 % + 128.800 EUR DTN ,0.00%,20441
204410090,Other,12.800 % + 128.800 EUR DTN ,0.00%,20441
204421010,Of domestic sheep,12.800 % + 90.200 EUR DTN ,0.00%,20442
204421090,Other,12.800 % + 90.200 EUR DTN ,0.00%,20442
204423010,Of domestic sheep,12.800 % + 141.700 EUR DTN ,0.00%,20442
204423090,Other,12.800 % + 141.700 EUR DTN ,0.00%,20442
204425010,Of domestic sheep,12.800 % + 167.500 EUR DTN ,0.00%,20442
204425090,Other,12.800 % + 167.500 EUR DTN ,0.00%,20442
204429010,Of domestic sheep,12.800 % + 167.500 EUR DTN ,0.00%,20442
204429090,Other,12.800 % + 167.500 EUR DTN ,0.00%,20442
204431010,Of domestic sheep,12.800 % + 234.500 EUR DTN ,0.00%,20443
204431090,Other,12.800 % + 234.500 EUR DTN ,0.00%,20443
204439010,Of domestic sheep,12.800 % + 234.500 EUR DTN ,0.00%,20443
204439090,Other,12.800 % + 234.500 EUR DTN ,0.00%,20443
204501100,Carcases and half-carcases,12.800 % + 171.300 EUR DTN ,0.00%,20450
204501300,Short forequarters,12.800 % + 119.900 EUR DTN ,0.00%,20450
204501500,Chines and/or best ends,12.800 % + 188.500 EUR DTN ,0.00%,20450
204501900,Legs,12.800 % + 222.700 EUR DTN ,0.00%,20450
204503100,Cuts with bone in,12.800 % + 222.700 EUR DTN ,0.00%,20450
204503910,Goatmeat of kid,12.800 % + 311.800 EUR DTN ,0.00%,20450
204503990,Other,12.800 % + 311.800 EUR DTN ,0.00%,20450
204505100,Carcases and half-carcases,12.800 % + 128.800 EUR DTN ,0.00%,20450
204505300,Short forequarters,12.800 % + 90.200 EUR DTN ,0.00%,20450
204505500,Chines and/or best ends,12.800 % + 141.700 EUR DTN ,0.00%,20450
204505900,Legs,12.800 % + 167.500 EUR DTN ,0.00%,20450
204507100,Cuts with bone in,12.800 % + 167.500 EUR DTN ,0.00%,20450
204507910,Goatmeat of kid,12.800 % + 234.500 EUR DTN ,0.00%,20450
204507990,Other,12.800 % + 234.500 EUR DTN ,0.00%,20450
205002000,Fresh or chilled,5.10%,0.00%,20500
205008000,Frozen,5.10%,0.00%,20500
206101000,For the manufacture of pharmaceutical products,0.00%,,20610
206109511,Of bison,12.800 % + 303.400 EUR DTN ,0.00%,20610
206109515,Other,12.800 % + 303.400 EUR DTN ,0.00%,20610
206109591,Of bison,12.800 % + 303.400 EUR DTN ,0.00%,20610
206109599,Other,12.800 % + 303.400 EUR DTN ,0.00%,20610
206109800,Other,0.00%,,20610
206210000,Tongues,0.00%,,20621
206220000,Livers,0.00%,,20622
206291000,For the manufacture of pharmaceutical products,0.00%,,20629
206299111,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299115,Other,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299121,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299129,Other,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299133,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299135,Other,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299137,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299138,Other,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299141,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299142,Other,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299144,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299145,Other,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299151,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299159,Other,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299161,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299169,Other,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299171,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299179,Other,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299191,Of bison,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299199,Other,12.800 % + 304.100 EUR DTN ,0.00%,20629
206299900,Other,0.00%,,20629
206300010,Of domestic swine,0.00%,,20630
206300090,Other,0.00%,,20630
206410010,Of domestic swine,0.00%,,20641
206410090,Other,0.00%,,20641
206490000,Other,0.00%,,20649
206801000,For the manufacture of pharmaceutical products,0.00%,,20680
206809100,"Of horses, asses, mules and hinnies",6.40%,0.00%,20680
206809900,Of sheep and goats,0.00%,,20680
206901000,For the manufacture of pharmaceutical products,0.00%,,20690
206909100,"Of horses, asses, mules and hinnies",6.40%,0.00%,20690
206909900,Of sheep and goats,0.00%,,20690
207111000,"Plucked and gutted, with heads and feet, known as '83|%|chickens'",26.200 EUR DTN ,0.00%,20711
207113000,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '70|%|chickens'",29.900 EUR DTN ,0.00%,20711
207119000,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '65|%|chickens', or otherwise presented",32.500 EUR DTN ,0.00%,20711
207121000,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '70|%|chickens'",29.900 EUR DTN ,0.00%,20712
207129000,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '65|%|chickens', or otherwise presented",32.500 EUR DTN ,0.00%,20712
207131000,Boneless,102.400 EUR DTN ,0.00%,20713
207132000,Halves or quarters,35.800 EUR DTN ,0.00%,20713
207133000,"Whole wings, with or without tips",26.900 EUR DTN ,0.00%,20713
207134000,"Backs, necks, backs with necks attached, rumps and wing-tips",18.700 EUR DTN ,0.00%,20713
207135000,Breasts and cuts thereof,60.200 EUR DTN ,0.00%,20713
207136000,Legs and cuts thereof,46.300 EUR DTN ,0.00%,20713
207137000,Other,100.800 EUR DTN ,0.00%,20713
207139100,Livers,6.40%,0.00%,20713
207139900,Other,18.700 EUR DTN ,0.00%,20713
207141000,Boneless,102.400 EUR DTN ,0.00%,20714
207142000,Halves or quarters,35.800 EUR DTN ,0.00%,20714
207143000,"Whole wings, with or without tips",26.900 EUR DTN ,0.00%,20714
207144000,"Backs, necks, backs with necks attached, rumps and wing-tips",18.700 EUR DTN ,0.00%,20714
207145000,Breasts and cuts thereof,60.200 EUR DTN ,0.00%,20714
207146000,Legs and cuts thereof,46.300 EUR DTN ,0.00%,20714
207147000,Other,100.800 EUR DTN ,0.00%,20714
207149100,Livers,6.40%,0.00%,20714
207149900,Other,18.700 EUR DTN ,0.00%,20714
207241000,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '80|%|turkeys'",34.000 EUR DTN ,0.00%,20724
207249000,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '73|%|turkeys', or otherwise presented",37.300 EUR DTN ,0.00%,20724
207251000,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '80|%|turkeys'",34.000 EUR DTN ,0.00%,20725
207259000,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '73|%|turkeys', or otherwise presented",37.300 EUR DTN ,0.00%,20725
207261000,Boneless,85.100 EUR DTN ,0.00%,20726
207262000,Halves or quarters,41.000 EUR DTN ,0.00%,20726
207263000,"Whole wings, with or without tips",26.900 EUR DTN ,0.00%,20726
207264000,"Backs, necks, backs with necks attached, rumps and wing-tips",18.700 EUR DTN ,0.00%,20726
207265000,Breasts and cuts thereof,67.900 EUR DTN ,0.00%,20726
207266000,Drumsticks and cuts of drumsticks,25.500 EUR DTN ,0.00%,20726
207267000,Other,46.000 EUR DTN ,0.00%,20726
207268000,Other,83.000 EUR DTN ,0.00%,20726
207269100,Livers,6.40%,0.00%,20726
207269900,Other,18.700 EUR DTN ,0.00%,20726
207271000,Boneless,85.100 EUR DTN ,0.00%,20727
207272000,Halves or quarters,41.000 EUR DTN ,0.00%,20727
207273000,"Whole wings, with or without tips",26.900 EUR DTN ,0.00%,20727
207274000,"Backs, necks, backs with necks attached, rumps and wing-tips",18.700 EUR DTN ,0.00%,20727
207275000,Breasts and cuts thereof,67.900 EUR DTN ,0.00%,20727
207276000,Drumsticks and cuts thereof,25.500 EUR DTN ,0.00%,20727
207277000,Other,46.000 EUR DTN ,0.00%,20727
207278000,Other,83.000 EUR DTN ,0.00%,20727
207279100,Livers,6.40%,0.00%,20727
207279900,Other,18.700 EUR DTN ,0.00%,20727
207412000,"Plucked, bled, gutted but not drawn, with heads and feet, known as '85|%|ducks'",38.000 EUR DTN ,0.00%,20741
207413000,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '70|%|ducks'",46.200 EUR DTN ,0.00%,20741
207418000,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '63|%|ducks', or otherwise presented",51.300 EUR DTN ,0.00%,20741
207423000,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '70|%|ducks'",46.200 EUR DTN ,0.00%,20742
207428000,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '63|%|ducks', or otherwise presented",51.300 EUR DTN ,0.00%,20742
207430000,"Fatty livers, fresh or chilled",0.00%,0.00%,20743
207441000,Boneless,128.300 EUR DTN ,0.00%,20744
207442100,Halves or quarters,56.400 EUR DTN ,0.00%,20744
207443100,"Whole wings, with or without tips",26.900 EUR DTN ,0.00%,20744
207444100,"Backs, necks, backs with necks attached, rumps and wing-tips",18.700 EUR DTN ,0.00%,20744
207445100,Breasts and cuts thereof,115.500 EUR DTN ,0.00%,20744
207446100,Legs and cuts thereof,46.300 EUR DTN ,0.00%,20744
207447100,Paletots,66.000 EUR DTN ,0.00%,20744
207448100,Other,123.200 EUR DTN ,0.00%,20744
207449100,"Livers, other than fatty livers",6.40%,0.00%,20744
207449900,Other,18.700 EUR DTN ,0.00%,20744
207451000,Boneless,128.300 EUR DTN ,0.00%,20745
207452100,Halves or quarters,56.400 EUR DTN ,0.00%,20745
207453100,"Whole wings, with or without tips",26.900 EUR DTN ,0.00%,20745
207454100,"Backs, necks, backs with necks attached, rumps and wing-tips",18.700 EUR DTN ,0.00%,20745
207455100,Breasts and cuts thereof,115.500 EUR DTN ,0.00%,20745
